,name
2pmMehsVKnwhgWPSOxrkjA,Panda Garden
NDAxF0_RCZBQedVO_d5WnA,Chang Jiang
eptljN50_4BpIwc2Op_A_A,Deli Roma
Xp7OA8gz7zDgB3I54jyb4g,SIR Hobo's
5uxhIGZlJm9g_zfG_83z5Q,Peking Chinese Restaurant
yV-eB-pQVeWE7W-WPC8BUg,Prairie Diner
unMqU0OrlniCOKZIoQHb0A,Kfc
MlWXHxdbIODf9GUcvUTfGQ,Country Cafe
RIsEPpt2jM7c_Ko_CyLwMw,Dairy Queen
O_Pu4mKGOqQVlmH07Zbnhg,The Rodeside Grill
HGzdDbukK8RJEc623kLz5Q,A&W Restaurant
oX6KamASYXnMIe5kpVhezw,Flaming Wok
S4TWo9X6b3gU6uucj4JN3g,Laredo's
xZwaUcrFMSY1O9dK2dAUpA,China Wok
89O2bCyo92IpEEvgFXqOMw,Cousins Subs
XWDk-pLSbVE2Vvv9Z-zusQ,Burger King
1hBOR97oX5Xph3J8Tdob7w,Cheeseburger in Paradise
ybkWtM1ZnT2ewuquj3A9KQ,Benvenuto's Italian Grill
jo-BEjs7UYovOAupDAN_yw,Rocky Rococo Pan Style Pizza
lNE3gOMb724YPlZAA8WlXQ,Denny's
cpGv6ES2hzPCtCUQgipwXw,New Orleans Take-Out
wPidHd5FxspPRgVqdEQ-Xw,Pedro's Mexican Restaurante
yYIEKwgQUHJpySOcVdCAkg,Perkins Restaurant & Bakery
pSiRWeCqs7a1xvS9ycLoTQ,Chang Jiang
QF14BFUVHRODxGNVflgm3A,Cracker Barrel Old Country Store
11yg-JMNCFowyIjJarzuDQ,Hardee's
q83uB6EGF6y2MuR-7VZPRg,Culver's
oudTF4EN_C8thENGiTQf-w,Chili's
ZjwZIQM4TfFO7T7ck7FtYQ,Copps Food Center
MVFeOZVt641WBvdsRmnhPg,Slice-N-Bullits Bar & Grill
9vgu6o1CwP5NakVkb29z0g,Sarku Japan
JdCFcgw4yk4M1ZRhAhBIag,Applebee's
311yXufoXR2dFngMHS9MFg,McDonald's
QB64-PgfEUzbrOL50bJ0Bw,Wendy's
rgyvl8tNVAony634_9vFdQ,Taco Bell
v5a-Mj4eO1E--HmgwEWo7A,Red Lobster
HTplzElel_F_U_qhWuDKdg,Dexter's Pub
O5lo-GKCG3cX8X4bh_DR_A,HomeTown Buffet
0oQFFOdPZycIBmGkoBrlbg,Noodles & Company
QdSGdvZATzejDkSs435Rdw,Eagle Crest Bar
1YEuqVtVMHdpavzoGcUUug,International House of Pancakes
7uoxZ35biPZfl8m5w2_XRA,Papa John's
uzJ2Vefb951El2oneQI8NQ,Wong's Garden
JPFzpR5PvZWqHXQMIZFk2w,Cool Beans Coffee House and Cafe
fjaQ3Ixkofh8xGhklUtDnA,Monty's Blue Plate Diner
Ryq600aoE3h8_qRQGIed9A,People's Bakery
jqOPL979k-t_Vc049CnAjg,Rosati's Authentic Chicago Pizza
nE51k932dNFc-gClgPguVw,Food Fight Inc
xMyTUliefguc3bfetGebJg,Pizza Pit
jqo3Ljexof9sA8PhSTwEjA,Maharaja Restaurant E Pt Plaza
68JsiWNLKs8NDCrBCxIWMA,Esquire Club
PhdMPqSdLZi6IV8SdnpUAQ,Olive Garden Italian Restaurant
eC4iEcRR3p5NLq9Zf80ZGg,Imperial Garden Chinese Restaurant
-4PHmmCt_RmAfaE3sDKW_g,Mr Roberts
JJFoeKZXgi2_LeECDMkkoQ,Tip Top Tavern
KHOHjA8HOcTlFBCtMQFv8A,Harmony Bar & Grill
ykxf0XiJt-d76dBwfO_yew,TGI Friday's
HLWtNcf3l-wKb6v9duteMQ,Smoky Jon's #1 BBQ
XIZ259hZ6Yww3C0o97MgUQ,Fazoli's
Pa_brCvUaiUPPvm3tJQwgw,Dimitri's Gyros
j515klfbCAEF3KPiKvHz9g,Pat O'Malley's Jet Room
S2x-rEziU3ONR9zO_vpPxA,Panera Bread
MONajnUQ5-IRtv8PSPn_yA,Cottage Cafe
Jb5SB2OXbRW0e7ErGlMK-Q,Michael's Frozen Custard
pHBQ-dQRwN3z7Rq7iSog-A,Pizza Hut
brkJrGv2Eaj9NTl9g2RMgA,Rocky Rococo Pan Style Pizza
spiYqne1kXzYQxDTZfKt2g,Fat Jacks Barbecue
U_m1zmeKhRkqOLxHFBXdEg,La Bamba
UyEbMXjDTNGks_k12fGNdg,Poppa Coronofoulos Gyros & Chicago Style Deli
Hld3cjWyfPpW5hDcgXfNQA,Angelo's
8AGIIxZ-BBHbEGsgmhOOwA,Arby's
cRqZ_w9ImfYYIXTHpJMv0Q,Silver Eagle Bar & Grill
kOXJrbuB1a1Na6sf_WQnDg,Tully's II Food & Spirits
I8Bx7iuHWz6d2TQDfKfjqA,Rossi's
ki33_SvM4kPjgA44Re8-zQ,Fraboni's Italian Specialties & Delicatessen
LWmlH8MwUnwMWN5Ma8utnQ,Ken's Meat's & Deli
cCStad4wX3ADPbz5AHCn9g,KFC
xou2z56CFTWYoA99s4DpTg,Taco Bell
QfCHvy6v39xPH7CvCASlFg,Buck's Pizza
qodyGnpmj1zEfi7nJ534BA,David's Jamaican Cuisine
unXHmjewHGeWQwJr74Sy9g,China Inn
JD1uVun5FEF_Ih2PnHCbuA,Dairyland Family Restaurant
R6TxOULUEMSq1-7P0w6kTA,Wendy's
4pZeC9W0EIiBTOJMnwG2vw,Red Robin Gourmet Burgers
2aai1pIfThxDTTD_WwXHeA,Taste of China
jGU7WGOM2qUHofLKZAFAIg,Noodles & Company
FiP9q_YD5vgxu_Sflo5oZw,Culver's
FIR1SRvSAMNTO3VvNaJn2g,Toby's Supper Club
yrBo3c3OTKVO4H1ttBxadw,Pooley's
R825-NTAI2wG2C4mN-dtNA,Uno Pizzeria & Grill
r5S_wYdu1vKRW1k-7_yOIA,Milio's Sandwiches
Xia0Lo492MDWbCd48scnYA,Subway
x5Mv61CnZLohZWxfCVCPTQ,Domino's Pizza
2ZnCITVa0abGce4gZ6RhIw,Viad Tower Restaurants
EmzaQR5hQlF0WIl24NxAZA,Sky Lounge
KPoTixdjoJxSqRSEApSAGg,Wild Thaiger
e5kc0CQ4R-PCCDgb274gSg,Canyon Cafe
gBcpDl0quCLABsg5OuSFww,Teeter House Tea Room
72N6TdH5MdUWE2YhYRbyxw,Burger King
neGAQFkBNI8-rpPBLBzNkw,Taco Bell
45puCRQ6Vh_IIAy7kkfFDQ,Majerle's Sports Grill
nc3IiY5LNdmEwUZCW84yuA,Pizzeria Uno
P7wKlbSRsoRrfH3DFOY08A,International House of Pancakes
BESmH-lmMm34_EefL8X9fQ,Comedor Guadalajara
D09yG6Z3gcsh24Qn7Y4gYA,Chico's Tacos
kaIue7GRCmkPzDeHDBTttQ,Phoenix Blue Fin
j8nyAaN_w5t6wYv-ni23sg,Coach & Willies
5XIvwfbIa-vuFEkkeCQ6kQ,Jackson's On 3rd
VsO_rhXi5lgbaGxNwoEZsQ,Fate 905
Y293fHh5SZ0_9BZm4M6BCg,Matador Restaurant
IceZ4BtTz76eppjNWm-c6A,Paisley Violin
QsvRjgQacMMFf8dit7qqDw,New Garden Restaurant
LXhL5X3edNRy7epku6UAEw,Paradise Bakery
#NAME?,Mi Amigo's Mexican Grill
XI-_Y2XRw03mozGx0Z90Gw,Baja Fresh Mexican Grill
qsWxbgQwuomXvMseg23DGg,Hooters
DlCtdbceo4YNSI53cCL2lg,The Old Spaghetti Factory
kR5i58Pcse1FD9tk-yYLlA,Crave Sandwich Cafe & Catering
2I666dqzs1XB6xigIKa9bA,Tom's Tavern & 1929 Grill
yExYqENb4F6qH6kJxTOaSQ,Karim's Cobbler Shop & Deli
9BH18avE46LlHMvJn67MaA,The Downtown Deli
trAvQPp7gps0Btk-2AmLpw,Zoes Kitchen
s6zzKc7UvwDRxn-BFlhiTg,Subway
4WcxnNv_lzCIG2eb8O5Mlg,The Brickhouse
gkv2XvXpFgiq4Bb2XK7YmQ,Hard Rock Cafe
If2DUhmWIvlu2JFc_rR-Bw,Papa Christo's
xH5axHFadmc7Veutt376TA,McDonald's
Vvh2Hd4SsZjEEfKLNKAEWw,Subway
sInUSy63Oh455uWs9p9OqQ,Central Cafe
x8WoC_7WHzXNmt6J13Nbvw,Jordan's Mexican Food
wki-Qlp3OWgH0XtZ-Jz_WQ,Duck & Decanter
OoHWabV-ym7_HWlHeXTsVA,Best of Philly
oSKT5oZX1NWYaHwOWL5lag,Ichi Ban Japanese Restaurant & Sushi
QAe9UHKsxPdXQovBpaznMQ,Schlotzskys Deli
q1nDSpmV-FdTBNj6UuZvTg,Honey Bear's BBQ
muCl5p-9ut1sY0aKeUeRhw,Cheuvront
oCA2OZcd_Jo_ggVmUx3WVw,Alice Cooper'stown
eK6KGMKqU_4nB9RdayZD7Q,Tee Pee Tap Room
jn3OgTqiQIFymRA9U0PTfQ,Arizona Baseball Club Restaurant
1-1VcGTL3GyCqUpXZLFTZA,Friday's Front Row Sports Grill
odhXwWaYZvD_icIN6f_DbA,Athenian Express
avPNEqlXgyBvTXjb-ujQFA,Pizza Hut
ldIxXmxD3Cku0vODGYb9dQ,Subway
hWhVP-28LYP3llaMlAJ_JA,Rosita's Place
ixTr1qXUFGTzyaZUuCDDvg,Whataburger
ZoQAOnEFnyHjSpomtfqesA,That's A Wrap
apCfJVnRyaw6oVUBKujpUQ,La Tolteca Mexican Foods
ykfTh6HI219NoMsWBxulxw,Gourmet House of Hong Kong
McdTNj-TUMOlfkHwQWs4rg,Tacos Mexico
tb24fvNJfHhyKEXkKn12Xw,Welcome Diner
VXIkI9_EbDbYHeO9IzKjJg,Phoenix Ranch Market III
VKxn7zmp8nOYT-ZHFZTjgA,Mariscos Ensenada
rbiRLiFTG098z9JaK3Nshw,Guanaquito Restaurant
cgNIBHS2mLdbTRiodAT6EQ,Tacos De Juarez
SZvYxcvYYVRue9MXcEDjsA,Coco's Family Restaurant
5-X03Zc0nN7U5eoe8uFUdw,Coronado Cafe
0De3TQ_uSOXwgduKL0va3w,Sonic Drive-In
R6aazv8FB-6BeanY3ag8kw,MacAlpine's Soda Fountain
Xo9Im4LmIhQrzJcO4R3ZbA,Rito's Market & Mexican Take Out
YECRdaM6wN6eaGOYi5g8uA,Stanley's Homemade Polish Sausage
NYBx4sdSVrN-I5Q8RfLMPg,San Carlos Bay Seafood Restaurant
Cp6JGY5YIRncTV_My9nf9g,Mariscos Playa Hermosa
04HakCR6gEeRYNAoKxkppQ,Hacienda Restaurant
q2SZa5g85758iW1L9sSL1g,Eliana's Restaurant
po5FyERB4lUZNnBIwnhFlg,Sonic Drive-In
I2IofjP2sHZUkv7pcoc33A,Burger King
_RBUU1y4yJrK0SPAd8z0-w,Indian Delhi Palace
WyJuGTwFwoN0k8iX8FsqYw,Jack-In-the Box Drive Thru
W41CEzdKJe8wdDB-Rd6KJQ,Breakroom Bar & Grill
PEHJjxdw11TGFma9Zhz3ng,Red Devil
zU8IfotOLryhaz5okWx6cA,Pete's Fish & Chips
h2ewvzx8enIwYhNbtIpcZw,Gateway Cafe
xfk9eY8gmwn8qsbyd-W6lQ,Honey Bear's BBQ
_gXpjRIjb5fv5f5IVGXvsw,Del Taco
11TvD4sCfA8GEqLDANpbSQ,Los Jarritos Restaurant
ZAgPh4v-oOb1g6cdlkKI0g,Phoenix House Of Pizza And Subs
PsuvqWNmLBU8ABkch2d9vA,COFCO Chinese Culture Center
2unQHR9uaRxk3dsW6f3MGA,Lao Ching Hing
s87D-mtAuJ8BluKgYYsXGw,El Nopalito
yQONzVpX-DEpGSuKMIov6A,Szechwan Palace
9tefv6uPxoHhp_OlQQJVXA,Canton Wong
IgaruuknYwCr9afeDYQ_yw,Dirty Drummer
Um5VnQXli9IwplV2rmgggg,Souper Salad
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie America's Sub Shop
rAb_wfdKKPPbcIysjYcW4A,Pozoleria Guerrero
hzUOqxpcnYYBgLlrgvjQYQ,Applebee's
5UBAWhxukaPrc_0DalT-3w,Taco Bell
jzPMl-NoB5F2fwoHX3hN8A,Macayo's Mexican Kitchen
I4L_MJOZsnux3xCU2bLP8Q,Cranberry Hills Eatery & Catering
JN2qXIuDXnV2d8WnSqd28A,Streets of New York
KIbFaBrZDX7rrYJInkv5Kg,Del Taco
#NAME?,Pane Bianco
SfrBXbRdNB_gqPkIgJyKCg,Bitter Creek Cafe
7Jmri1RCl9Ksmpi5EoIOZQ,Duck & Decanter
3xEB9FyFXolq1b_Qn_BFtg,George & Dragon Restaurant
SkNUbFJiJtbZjY-S_S0u7g,The Good Egg - Uptown
VZYMInkjRJVHwXVFqeoMWg,Jack-In-the-Box
g4Eit1EeeEGhTVik6AWYsA,Wendy's
cIwMq5KNq0ASQzoTP1dE9Q,Boston Market
OkXpdUozVS3vjSRtCoSIvw,Fusilli's
cjUmPLRT43wN9Z87A9BOpg,Applebee's
UWrB5H3G-hhiHMy3iKV2ew,Cheese 'n Stuff
-3WVw1TNQbPBzaKCaQQ1AQ,China Chili
wTiQXYB9fE9rcSZDsZgbtQ,Sweet Tomatoes
L19_1cG2ALVjdBQ456h26A,Yoshi's Restaurant
zZmhEpiVpRfFQid87-pcOQ,Dairy Queen
WPSM_oTPceoSnwqQWfAsdg,Qdoba Mexican Grill
5W0WLaM5gue42MQPpcB0lw,Katz Delicatessen & Sandwich Shop
yaTx8l9SrM0qR3Zcdnw5rw,Le Peep Restaurant On Central
kUGgkYxXxHDhD6mtpQdUNQ,Domino's Pizza
DeAnVirgOxQnI36V1W158A,Juan's Authentic Mexican Food
ML1RJdeZ7bbfMrHvJ7m99A,Oregano's Pizza Bistro
nrb_PRgJB-ZOVLD07fikJQ,Jack in the Box
#NAME?,Manhattan Pizzeria and Subshop
FltN1Hnw4n7BORXJH1kaeg,Mediterranean House
AkOruz5CrCxUmXe1p_WoRg,Cherryblossom Noodle Cafe
kIvIqHvvFOc6aCutFYIvNg,Taco Bell
3CSaqRNvYg7ZdN2zwxwzVw,Christos Ristorante
FW2Z4ll4zSOEDAJX9-wBZA,Great Dane's Restaurant
XcwbN5fDlyl8qCttcdDGKA,Rolberto's
HrD4U4wvzkmpHranLW7W6g,Jack-In-the-Box
VlG9qxAc4d0em2djaU__xw,Jordan's Mexican Food
naUFPFYH2CqHtTrV3IAJrQ,Crown China Super Buffet
W8WyVVxinyRjzP8gJa7ILg,Tokyo Express
PxeX1M8WtyPxX1MuuGIh-g,Scott's Generations Restaurant & Delicatessen
auorqdHiATGZHVd-sd79ZQ,Pizza Heaven Bistro
MEraJIKYztC7IOzYwMe86g,Raimondo's
3ZVG1MSRuvheqZ4gOioQVw,Rack Shack BBQ
FKHv7FkblONv9qqBndJUrg,Denny's
od49_DFUJY9louGx80My-A,Pancho's Mexican Buffet
Ql2cV2A9alEOlFySzEGNVw,Segal's One Stop Kosher Foods
t30Ua_mSiClnpBqud84ygw,Imperial Garden Chinese Buffett
lHKS896yFkmAuWyFnbNP3A,King Solomon's Pizza
rrPRCU1m22v02k60YvJNrg,Domino's Pizza
LzpR_jE6VIutJ08s2cdRrw,Coup Des Tartes
0K35eGvzVRZEirNo5v_WfA,Ajo Al's Mexican Cafe
BT2Vls7h6sWrCKa5gGXbKg,Long Wong's Restaurant
UlShIstbG4Yfh0MpTAEciA,Subway
t54zAs7IftAVb9SKcCRotw,Bacchanal Ristorante
HNusESyB6lEgrf5IUwUr_g,Sub Factory
XzR49vhfm5ugcPJ3x_c2KQ,A & J Chicago Style Bar-B-Q
18TUn9oiW0k0yB6lheiOvw,TEXAZ Grill
ntJAKLAq0cXzzdFgPoo0Iw,Harvey's Wineburger
OT0gFIAr_c-d3i-IQ6TZQg,Baja Fresh Mexican Grill
c0RSs2KYK5Y-ZlSrNq9LyA,Moto Sushi
Tk2dSL0TwQeI_zNJmb442A,Luke's of Chicago's
GpK9MeUjEd7rwhejG2ykww,5 & Diner
74NT13vpDleoNrkxQdEpsQ,McDonald's
KLaxBc83JnxyGf7GP7enYA,Greekfest Restaurant
X8dNaEFH7LWDt1ORmkfDTg,Subway
KNIw6kwf8LZkrS1lEnaLiw,Einstein Bros Bagels
gQjTs4BDNYSu9oJhkEsssw,Lone Star Steakhouse
ib-y5nsfn3unE0lLY1vfAw,Arriba Mexican Grill
Pfb6VOIiroqDWOebfgWGPQ,Phoenix City Grille
HIiVx2mseVWKtx8TKfWC_A,Duck & Decanter
jSEcE8AY-mzGq9EOiyrtng,Europa Pastry Cafe
SOHp2b8quJEitFeuO58Syw,Fish Market Restaurant
LYyGQgL60VKdV-p_9OxmWQ,Flavors of India
RoErsFPM0A-1SCqD-FRV_Q,Kyoto Bowl
T5HYqRADhAL6VPRAacz74Q,Niccoli's Deli & Pizza
AyPmMe8GW6J26NvT_oI88Q,Dairy Queen
GGhyhajTNKm5yTxtAoaxIw,Kokopelli Mexican Grill
BJLoCsSp2TkHeTv00fJTVQ,Pizza Hut
CqhsIZ7TzCfJTrZqg5-gqQ,Armadillo Grill
5kRug3bEienrpovtPRVVwg,Rokerij
TqHTtjPANCBKGsjGBjDoQQ,NYPD Pizza
VpW40mznMS43CqdbelX2wA,Giuseppe's On 28th
PAtgWCLCFRQd_fjnihISOg,L'amore
JxgoluY8hnC34cys_f80xA,Deemos American Grill
WzhHlaEyaHE4KIFfcqC_9g,Filiberto's Mexican Food Restaurant
MU3i2uEyUBntebU6pEyMbw,McCormick & Schmicks Seafood Restaurant
rJ7HH85lo0wTNr5BiYGQ4Q,Adobe Restaurant-Arizona Biltmore Golf Club
bxpzP73A7gauvxFEyd_8xA,Olympic Gyros
ET9VpUk1UgjMN5DJRV0yOw,Christopher's Fermier Brasserie & Paola's Wine Bar
ut-kla-EA23nJOij_dcL0Q,California Pizza Kitchen
bewtZL-VV1oeGUdAhHVz6Q,Omaha Steakhouse
#NAME?,Fuddruckers
fmuj7u1gflmEjW-h0v9bwg,Miracle Mile Delicatessen
2r8jGeuYvMkyP2ik_X-Bxw,The Cheesecake Factory
MUsqPXthMdHoPEow9M3MfA,La Madeleine French Bakery & Cafe
kjZJsF1juY_pTOw_A8Ve6w,Chili's Grill & Bar Catering
C37jakxE5TX6ccAfjp2kJA,Nixon's
wftoNIA0Q8nX-Da47psBCA,Au Petit Four
Ta-fY1c_E8qHBBDQGyxPkg,Bistro 24
QdbZyl-LWFS54u93Vjd5SA,The Capital Grille
o3TruOSgOwNgx08QosuWTw,Julioberto's
Rg3INE2p4zQYvfMvJduEOQ,Cyprus Grill of Phoenix
imvNxppzxkLUPH64pQsDQg,Wright's
syxUZu1GrJv0LYnV38hMug,Losbetos Mexican Food
3m7khDnqH9QOg8gu3Ymumw,Oscar Taylor's
Uov4o_7gRqQKQyjVhWOpVA,Sam's Cafe
NDKkce5Au-o_OhIt5f2ZBg,Zen 32
K9fIADfO_zKFPFm75A1Hxw,Taco Bell
UxMnY3Dxafucv5cXHyfBSA,Hong Kong Restaurant
24qSrF_XOrvaHDBy-gLIQg,Baby Kay's Cajun Kitchen
YSQnaRE4Le6CaonZICFyVQ,Chili's Grill and Bar
yLfYR-PvIzAv9DnEH68Rgw,The Bamboo Club
U2hhSRVHfBryKPNTgasprA,Blimpie Subs & Salads
yPfvOB63thP5t3pGZPJExA,The Wrigley Mansion Club
u0zjW7rluJgUeQTnaZnkJQ,Churchs Chicken
CkQKNhlm8DOzxbXm_zb3bg,The Vintage Market
lgWe8lSmcBk4Pq0kVI9-0A,Kfc
rVUEZpHQfWI_3kt0lBwaxQ,Keegan's Grill
oEjdNvlluW5_Ng9kewJFBg,Chevys Fresh Mex Restaurant
Vu8od1U-h5qqwj3Jf_Hnzg,Souper Salad
_BhzcKojv1gjdRINe3Gkig,Morton's The Steakhouse
vvA3fbps4F9nGlAEYKk_sA,Avanti
4rySWsfL5enT7t4XuVNJuQ,Jerry's Restaurant
OypZxwm-jS9QfUwgBmzeyw,Steamers Genuine Seafood
NVqLUZ7Vb9B_0RJm_BS64g,Linda's On Osborn
C6oCdg9wVaS81Re0WfBJzw,Mr Submarine
PuHucejs4LG3hSXnrwi9-g,Sophie's French Bistro
3DMvGD8ZmlMQmhwV66hdSA,China Village
VWcaFOSFcDwmFquycBzFyQ,Frank's Pizza & Wings
69t2S1u7Rf6qM_c14b42xQ,Manuel's Mexican Restaurant
iDoigI3605ixHl_qHly3Tg,Ruth's Chris Steak House
zMa6YoEekpABg1HZnnTZdg,Hillstone
gxuVySgACHDqJlwmelFHLA,56th St Deli & Market
cvb__rYMkj4BMhC3p_FB3Q,Olympic Flame
VpSiOW1PapVmZyyRBK_GBQ,Vincent's On Camelback
Upru5VE0jZ81ZQVVNCK_uA,Sonic Drive-In
oc0Wl6ktfMLb5VZ2Uz6M2A,Vincent Market Bistro
_ODHYjCmrb3W9hIGJI1uaA,Loving Hut
CvJNcUtmNubDF8UmuduNXg,Peter Piper Pizza
y-uHaMLLWQydSyWJawLIUw,Ono Hawaiian BBQ
nLpV9fo8xml-QHOKyOje2A,Panda Express
JobP0ghILdh8S8l-LhHHxQ,Armando's Mexican Food
GSsq_y2PfYBzn51gAG_c7Q,Croque Famous Sandwiches
9Dj2we91vaYDVhfq6t-Luw,Subway
edjCywtqffQ8__vM7POZbw,Rubio's Fresh Mexican Grill
hLAWdi804nVfTLF7T0rB1Q,La Salsita
K2_Hmmo5crTYWiT_1sWnfQ,Chipotle Mexican Grill
ejfy33R1avFm7oygL34uQg,Elie's Deli
T-FM14EE1tt-94eONQEaVA,Fazoli's
j0Uc-GuOe-x9_N_IK1KPpA,Slice of Sicily
fVgrpVyp-nPLTac9YIjTug,T Cook's Restaurant
5Js9G0axfWhbYlB9UgXLww,Einstein Bros Bagels
N-gqIeVDebI3qgwxf1jMcw,McDonald's
2dJ_UPPCpcjo5JeYPnjaYw,Schlotzsky's
2gMx4KnXbNtpoCuVCmyo3g,Coco's Restaurant
S8R5c7-plWe3NtmijYAJvg,Sacks Art of Sandwicherie
R8VwdLyvsp9iybNqRvm94g,La Grande Orange Grocery
SDwYQ6eSu1htn8vHWv128g,Postino Arcadia
7UTlEVHU5v2xBLdkGghyzQ,Chuy's Mesquite Broiler
5WQhLNpG6xZryVCla4gMRA,Fry's Food Store
yJr24Yy1K6bt2G9fX3_zPA,Havana Cafe
wdEnI9WTLHiqSCH1RdJ40w,Los Armandos
qz4ZOcv-840UjfCEYI4qZg,Jt's Bar & Grill
FRDZ59oRvUSs4gf-itOCBg,Jack in the Box
m9Wqqma30o-hH2fAX7dnug,Desert Jade
7SoGPn8dvce7A1aHdBOGLA,Mariscos Acapulco
To5CjntVFawXM_hpAhvVdQ,Wally's' American Pub N Grill
UxvOXcoCRFRAVhRB0D9imw,Taylor's Cafe
sMD2HPNh7m0hgCxHDzGTzQ,Golden Coin
TBTaMIaeDw5B79hXDZBtrA,El Pollo Loco
MPziC5MO2QQiYVAMM3fdSw,La Fontanella Restaurant
iNvY0zAlaD_ye7Z6rHu-Ug,Chicago Hamburger Co
wct7rZKyZqZftzmAU-vhWQ,Thai Lahna Restaurant
uevPN8zwJpBpnxRur1jUhw,Don Jose Mexican Food
lwgBIboXZ4j9uuZthAvTEw,Subs by Jim
9Vu9KhK2-kBSM-FXvxXGNg,Pei Wei Asian Diner
jHte0SjUldZeDDZ5py0ZhA,Pizza Hut
O02yhnk20alGOBw0HcmHGw,Burger King
H8QFth3DVsYbkJ2M7bTvmg,Sushi Mishima Restaurant
i8X14GDzaYD_TOGeWjmv-A,Arby's
BicQSnGZnY_yuGEDkhVfnA,Little Shanghai
QplY4p8HHJY0ncbgcpb8WQ,Kyoto Bowl
MLVKDbuI2xaOJQ4-NZj2MQ,Marcellino Ristorante
hqVbmZNLTdR2y7G7oJu9vg,Tutti Santi by Nina
ytcm2DXuJWKPTqCtr6uJ4A,Rainbow Donuts
C4_VnxikagdjSbNQiblzYw,Veranda Bistro
wLZ--5d4lXImxrG7VhdTyA,Panda Express
GvwDppcJLm9lso9iS2hSIw,Pat's Pizza Plus
3rJE7qliy8_ylKhY5FdlIw,Blue Saguaro Cafe
dUJMmr6TFrHmiokijXiyUg,Whataburger Restaurants
ieYiA4L5gk7S3kZYK0l_dg,Carlos O'Brien's
YldXB1hRpnE1CWLF3mvgpQ,Spinato's Pizza
G9LwkTSdKOyOGqd5BbuIkA,Aunt Chilada's
Y_dzA9OHRKa0X1cqcRmsaw,McDonald's
4eFIVmbeCvJGCrhzmd-VYA,Grinders Coffee Company
PxqufEwqzIHAbQGRdZ3bUw,Pei Wei Asian Diner
rwT9wCyXNATA36yqcb4JSg,Big Daddy's Sports Lounge
EUXT1vSFWaiD_BFmFK8rBg,Bobby D's Restaurant & Lounge
Y3a3RkR97J_ReiKgiMXeJg,Pointe In Tyme
3Zsjlum5kl5N5KV712aTMQ,Different Pointe of View
PxUQyOAdK8c3P_WnrXuCUg,El Rinconcito Mexican Food
#NAME?,Tacos Jalisco
flUKBy7WHqYdfOrwU1A2SA,El Bravo
hIe65VALe8rxseYECVj08w,Streets of New York
unPzS1QJJctlZyLGFSk_HA,Tony's Italian Delicatessen
F-ykHfGY9lWr12OJ_Ofy7A,Gallagher's Sports Grill
F3SEkW6v2LJ5y6Ldo5pPaw,Super Dragon
0nyaKW_6QHSJ74OVnDmyhA,China Super Buffet
kxDGexkbP30fBvxVI0CzFQ,Stumpys Pizza
faitVIiNezSN0ogZQSZPWQ,Lantana Grille
PkBqPU83bf1zArumGVHqcw,Bamboo China Restaurant
aozcOaCMwOHG8s-lbZ6_gA,Flamingo Palace
cTyBfWfmgL3vgRetyfmtyA,Sport Peppers Grill
