yelping_since,compliments.plain,compliments.cute,compliments.cool,compliments.more,compliments.profile,average_stars,user_id,elite,review_count,name,compliments.list,votes.cool,votes.funny,compliments.writer,fans,compliments.photos,compliments.note,compliments.funny,votes.useful,compliments.hot
2008-07,16,2,35,6,1,3.89,tF1qQ5Ik8tb1xtXcU-eW_A,"[2008, 2009, 2010, 2012, 2013, 2014]",150,Michael,1,427,564,18,11,3,11,8,518,21
2006-07,30,,26,7,,3.72,q0tyreOQU5b6Y5pfMYZoYw,"[2011, 2013, 2014]",187,Shayan,,107,72,29,15,3,10,1,250,19
2011-07,2,,3,,,3.86,AvthRjy9X0RPuU9bDvBgKA,[2014],220,Samantha,,34,24,2,3,,1,,101,1
2007-08,142,20,220,10,10,3.9,ZNpAVHTehFYp0rObGT4teQ,"[2009, 2010, 2011, 2012]",340,Jackie,2,1118,889,91,39,26,44,43,1446,166
2011-05,1,,10,1,1,3.84,8FTy-M73vhq9x_AnPrOYug,"[2011, 2012]",140,Steve,,32,34,2,0,,2,1,116,4
2008-01,6,3,9,1,1,3.65,uMKGgvWxjuUQjvol7t8ECQ,"[2009, 2010]",105,Jeanne,,78,37,7,6,1,2,5,110,4
2011-03,5,1,3,1,,3.87,Eo9_aVujwCMGhhXshyhtpg,"[2011, 2012]",108,Linda,,27,5,2,3,,8,,62,1
2009-11,41,,33,,,3.35,oGOlO-Ly9zwYtyOf-OIykw,"[2012, 2013, 2014]",111,Mona,,133,96,7,8,5,20,8,238,24
2007-04,79,9,108,5,1,3.87,WABgzJLa81DnmdKycXUZlw,"[2008, 2009, 2010, 2011, 2012, 2013]",257,Rachel,1,596,543,16,13,5,38,111,1041,56
2006-11,7,2,20,1,,3.91,6SR2bZ6RkqbzxlfB2dfc7Q,"[2009, 2010]",177,Cindy,1,122,126,4,9,2,7,7,175,12
2005-07,197,14,214,19,7,4.12,8Bcs6Yl5YqIOrVKH95xj4A,"[2007, 2008, 2009, 2010, 2011, 2012]",359,Elizabeth,9,878,636,52,22,9,47,42,1423,214
2011-07,4,,3,2,,3.85,L86MuXQMWBFu0K7hOuiaiA,"[2013, 2014]",45,Maribel,,15,14,2,1,,4,2,62,3
2006-07,99,5,75,21,,3.9,kK_7sujaYWCjI33gZeNuyQ,"[2006, 2007, 2008, 2009]",479,Mark,11,687,697,19,33,10,46,32,1407,30
2010-01,80,11,82,14,8,4.17,8v9q-mpjdna5X2VYCEniew,"[2010, 2011, 2012, 2013, 2014]",256,Erin,6,636,539,52,39,18,31,22,1035,77
2009-01,3,1,12,4,,3.94,V1BS7Z_Xk9K4u5acudyUiw,"[2011, 2012]",123,Mandy,,79,93,7,4,,4,1,155,4
2013-05,66,1,45,1,1,4.25,c0dTRMtSfZh03taAxzZbCw,"[2013, 2014]",123,Sharon,,108,73,9,9,5,26,11,235,22
2006-12,8,1,26,8,1,3.57,EVN484M7GZxhVpp61JgQBA,"[2008, 2009, 2010]",342,Gayle,3,291,172,7,8,2,12,2,501,19
2007-08,9,1,14,1,1,3.71,6hRKotVFPYL7Ci0hipN9Eg,[2009],78,Eric,,171,112,1,3,6,11,3,240,8
2007-08,27,1,18,5,,3.57,RC5IG2uTHEtUuyNMikhqJw,"[2010, 2011]",109,David,1,88,87,4,14,70,13,5,159,10
2010-02,2,,7,,,4.45,LHfqh4k8KIC4GwASlyLLUQ,"[2011, 2012]",71,Keith,1,81,75,1,2,,3,6,117,8
2009-02,6,,9,4,1,3.72,5tNW1jZIbYxrucRZRa9FQQ,"[2013, 2014]",204,Tiffany,1,68,79,7,7,2,2,6,212,3
2009-07,2,,3,3,1,3.61,2wJyaBMKVcjX1RSgXAhe7Q,[2012],97,Chels,,17,29,1,2,,3,,79,2
2011-12,13,,10,1,,3.36,q8yy56VIHS9aVt9L93s6eA,[2014],102,Seyran,,44,15,6,3,2,21,1,88,6
2006-08,8,,8,3,,3.99,g5qQdAUqc8Hsv4kZTWfnDQ,[2007],85,Vanessa,1,90,44,1,5,2,2,1,147,6
2010-07,17,1,19,,1,3.83,PdRiW0iUxXOgn5wcRiV50w,"[2010, 2011, 2012, 2013, 2014]",296,Kim-Anh,2,175,110,23,17,,8,,427,19
2012-02,8,,7,,,3.92,G2zhtHNYsIFHRAREuOdFlQ,[2014],84,Ilana,,90,37,5,1,1,1,,175,2
2012-07,12,1,7,3,,3.31,blGPUcRrNPO5K_TfVYIN1A,"[2013, 2014]",154,Josh,1,91,75,6,6,1,3,4,217,2
2008-01,11,4,24,7,,3.75,LyNzZvC-6wj-y0-86yD_QA,"[2008, 2009, 2010]",580,Jennifer,11,413,213,14,50,7,13,6,719,14
2009-08,,,1,,,3.43,hH49rEdAPs-juHxqDhDpFQ,[2010],82,Bruce,,21,28,2,0,,,,85,
2008-03,2,,,,,3.53,M6FPcq79KN2Y-4ymBNQdkQ,[2014],107,Kelly,,22,34,1,1,,2,,86,
2007-03,52,3,59,8,6,4.02,d_OCCajegHKw83mFj3sEaQ,"[2012, 2013, 2014]",171,Christine,,362,292,21,13,18,33,17,474,43
2007-07,5,1,6,3,1,4.13,Lpx7wA5QeDD_JpYDRN9_FQ,"[2012, 2013, 2014]",213,Philip,,87,49,1,9,1,4,,209,2
2008-09,15,,33,3,,3.88,U5P9M2UVU8d2KOc2UbnK_w,"[2009, 2010, 2011, 2012, 2013, 2014]",625,Mark,,245,197,7,9,1,14,5,485,15
2012-06,64,3,97,7,2,3.76,DZm20Z2tH25wKfyVkpmF4g,"[2013, 2014]",235,Angela F.,3,370,314,26,20,13,66,56,634,38
2007-03,18,,12,1,,4.01,0tUaVt1ABYUrQalQbgjFWw,"[2013, 2014]",174,Andy,,146,51,6,5,3,10,5,282,4
2013-01,,,1,,1,3.5,oX07n4LWQn-57slCI71Sxg,"[2013, 2014]",114,Jeremy,,28,19,2,2,,,3,133,
2011-02,6,,8,2,,4.03,0fr1ej08wdJQ471-Js0voA,"[2011, 2012, 2013, 2014]",137,David,,50,56,1,5,,2,1,168,
2009-07,14,1,14,1,,3.78,WUW0-9wUeP6OJYa-WnavtA,"[2010, 2011, 2012, 2013, 2014]",195,Craig,,133,159,2,15,1,9,4,392,3
2010-07,40,1,33,3,1,3.96,0oyHotayoeZ_bM9a5OQusA,"[2012, 2013, 2014]",321,Terrance,,207,173,26,8,4,8,8,366,5
2007-12,10,2,20,2,,3.6,cfGePSqakjcTTgsSvzhh9g,"[2009, 2010]",98,Fonso,,191,138,3,2,1,10,9,214,5
2012-09,,,1,,,3.81,DrKidWETxtq3RnLEdbeDFw,"[2013, 2014]",56,Brian,,20,14,1,1,,,,83,
2008-11,8,2,12,4,,3.79,MfCLJC7_4leeCDKy2BklOA,"[2009, 2010, 2011, 2012, 2013]",298,Saskia,1,149,111,9,18,1,8,9,354,10
2009-01,3,,4,2,,3.79,Lv7dv82BjRN060S7uulSDg,"[2011, 2012, 2013, 2014]",252,Anne,2,52,46,1,7,1,,,195,1
2009-07,172,3,146,9,8,3.71,GlnDy2m4dhtWFPZCTjNxMg,"[2010, 2011, 2012, 2013, 2014]",585,Jennifer,3,1101,996,92,21,7,80,46,1883,107
2010-06,71,,45,5,3,3.63,PH-TR5VxMTOmOscSeufDMw,"[2012, 2013, 2014]",768,Heather,,259,169,26,10,3,12,36,625,22
2011-06,1,,3,,,3.74,d2tbB_7-0a0-OWXgd5Fo1g,"[2012, 2013, 2014]",125,Jeff,,22,17,,0,,2,,53,1
2009-10,10,,15,1,,3.51,T9wO3ug8vY2vOAUyCueeIw,"[2011, 2012, 2013, 2014]",144,Simon,,113,68,21,7,,7,1,289,20
2010-02,28,8,59,7,2,3.46,S4y3RDjjVzmi_7mqQZ4Dnw,"[2011, 2012, 2013, 2014]",1049,Crystine,,449,278,46,33,9,30,12,1358,30
2012-05,223,,119,6,,3.8,DNXdfzyuN64b38b3CbumXQ,"[2012, 2013, 2014]",136,Rocco,3,338,261,32,13,5,77,72,464,31
2008-08,22,1,33,5,2,3.89,fBEdwRDOfWwGZk4cCOC1iQ,"[2010, 2011, 2012, 2013, 2014]",184,Jewel,,138,140,17,12,10,11,10,262,14
2011-09,3,,4,1,,4.27,W_R-gVF8OHNrIhtmyhDnyg,[2014],152,Dwayne,,50,35,1,1,1,2,2,127,
2009-03,294,8,213,18,11,3.99,5Fd93L51CcW9oiJxPPfgEQ,"[2013, 2014]",918,Tiffany,1,1182,765,87,61,30,47,35,1822,89
2009-11,19,2,15,3,,3.71,YYYuDpOF45FqGZgh4YJzZw,"[2011, 2012, 2013]",115,Melissa,,74,76,1,4,1,11,12,190,10
2007-08,104,2,64,9,8,3.64,S6JjnPKjo-EQ6Uv8FPlvlA,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",517,Michael,2,409,315,22,20,1,27,15,887,47
2009-09,,1,3,1,2,4.25,kCLexsn0nEoj5GlI-elTWg,"[2013, 2014]",108,Diana,,46,54,1,0,,2,4,79,2
2006-12,22,,22,3,1,4.15,Os1rhgsyvt2_QBMUMYWKzQ,"[2007, 2009]",276,Ruth,1,355,160,26,2,,6,3,535,11
2010-12,11,,12,1,,3.53,EugGhXYU0r8RhCxk6zdINQ,"[2013, 2014]",139,Harry,,53,44,13,4,,10,1,210,9
2007-04,17,3,27,3,2,3.65,BGGTWbnpkAIbzl4ih-oZng,"[2007, 2008]",200,patrick,1,197,189,5,4,2,16,10,163,15
2010-03,7,1,1,1,,4.01,Mn50XLs-qJJq895yyEDXYg,[2013],112,Renee,,33,30,1,5,,4,1,112,
2009-10,23,7,43,4,1,3.82,gQtkYF3s8b5td6RcwioNHg,"[2011, 2012, 2013, 2014]",143,Melissa,,352,343,32,31,3,24,18,469,31
2006-09,21,21,42,8,5,3.35,RIBKRjImw1Ke63wM3GueJQ,"[2007, 2008, 2009]",497,Soozie,,449,242,1,17,7,13,20,689,36
2009-05,24,,13,2,1,3.97,I-PF5hlJOghNoNg6LGz0vA,"[2011, 2012]",247,Christopher,4,101,102,5,7,1,14,5,271,1
2012-06,2,,4,,,3.72,5J5OrLqqOxilT_qqibuqsw,"[2013, 2014]",102,Laura,,32,57,,0,,1,2,103,1
2010-09,11,,20,5,,3.66,1iTg_OFXU5ttivs6xosWqQ,"[2012, 2013, 2014]",136,Kent Jacob,,101,82,21,4,1,7,2,262,16
2009-08,31,1,18,1,2,3.7,NXnbBRdj4XbsSTEQXPvywA,"[2010, 2011, 2012, 2013, 2014]",324,Erin,,247,231,14,13,6,16,9,545,21
2008-10,40,2,65,10,4,3.83,AtxVjhltNRYcV62_nrX8dw,"[2010, 2011, 2012]",216,Nathan,1,201,201,10,13,5,24,21,450,38
2006-07,68,7,60,17,5,3.34,NmxVejwT9x0l6ppVvG7P4g,"[2009, 2010, 2011, 2012]",300,Kerri,10,1345,1460,62,46,13,35,64,1975,41
2011-02,14,2,16,2,2,3.84,pK6N_z0i7oRS218bc54PuA,[2012],153,Susie,,112,81,7,4,1,6,3,286,4
2010-12,7,,3,2,,3.21,S3UBGaEpXOU-sraQsclfMQ,"[2012, 2013, 2014]",116,Andy,,19,26,1,1,,3,2,85,
2005-11,3,2,5,12,,4.1,YTfCSDFmpp0t0rCMpFj4MA,[2006],42,Sylvia,,21,8,,2,,5,,53,
2010-11,19,,18,,3,3.86,ep8cqSVcPTkbsQ5iMNzPmw,"[2011, 2012, 2013, 2014]",296,Svetlana,,360,251,17,11,3,10,4,597,5
2008-02,7,1,24,5,,3.74,cvMC0ZsZo2TmS5DvKwT3nA,"[2010, 2011, 2012, 2013, 2014]",299,Carissa,,231,165,20,11,1,14,1,408,15
2012-08,15,2,7,,2,3.66,rIW29O2Snwp4D03tWIj0hQ,"[2013, 2014]",182,Alique,,232,250,1,7,3,3,6,440,4
2008-06,9,8,16,3,1,3.34,mc3zQuHCDBRT_oBAlN18vA,"[2010, 2011]",240,Sarah,3,149,108,16,34,4,7,5,383,11
2012-11,29,2,27,3,,4.11,v4qLQMztyYm_jRG_q9hODw,"[2013, 2014]",123,RJ,,93,81,15,2,3,17,9,221,6
2007-04,84,3,83,9,1,3.32,Teexr4MH0y4uR-ofFb-igQ,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",465,Steven,4,501,381,14,18,5,54,29,743,45
2009-01,116,,113,7,1,4.28,ri0xJJElIs47Tm1xvn1dOA,"[2010, 2011, 2012, 2013, 2014]",325,Guy,11,1014,806,103,33,5,44,52,1475,64
2011-03,4,,8,2,,4.0,pY2S02lthfq4GBshSqC3qA,[2012],32,Derek,,48,91,3,2,,3,1,89,8
2011-06,5,,15,2,1,3.43,E1AnAYsqjLyOQfxxo4AyHg,"[2011, 2012, 2013, 2014]",241,Justin,,52,26,6,3,,4,1,199,5
2008-02,6,,7,,1,3.8,DNPXzFzY-nVe_pIXEI6R-Q,"[2011, 2012, 2013, 2014]",360,Kathleen,,86,57,1,5,1,2,1,354,1
2010-08,107,3,140,4,3,3.83,zvFomoCcKU9UyeC9i7CyvA,"[2010, 2011, 2012, 2013, 2014]",435,Catherine,,983,837,56,19,9,58,42,1472,100
2006-10,27,3,60,3,2,4.05,oIVsVM8H273aoT1JUmsDIg,"[2008, 2009, 2010, 2011]",163,Tracy,2,447,256,15,13,3,27,16,533,29
2008-08,27,,47,2,1,4.1,1iRAVgY9kstDoYeGyndIOg,"[2010, 2011, 2012, 2013, 2014]",277,Stanley,,258,187,10,12,,9,10,404,13
2010-08,5,,11,1,1,3.65,vQvcnF_8oHxKdzTUAydjcA,"[2010, 2011]",74,Linda,,32,19,7,0,1,6,1,79,5
2010-12,1,,3,2,,4.2,BUIiq-uxHMyGQnXaBRNbnA,"[2013, 2014]",111,Heath,,54,22,2,3,2,5,4,96,1
2011-03,1,,5,,,3.93,0ZJueoz93528tTtFHMO7lw,"[2012, 2013]",52,Melanie,,15,5,3,0,,7,3,61,2
2005-12,18,3,34,5,2,3.32,EzwFqwq-iQzF8PA3zajhVw,"[2013, 2014]",182,Sarah,1,120,122,21,18,7,12,9,356,19
2009-03,20,4,39,8,2,3.44,2W8kTEcYhkSL2yYSyHxOcw,"[2009, 2010, 2011, 2012, 2013, 2014]",329,Amaryllia,3,326,282,38,24,2,36,11,806,38
2012-04,1,,7,,,3.93,hEq3exnnRgbh-XRNC-3rmw,"[2013, 2014]",56,Lane,,37,4,1,2,,4,1,69,1
2010-02,101,1,93,9,2,3.47,IEQlakFYC4Q7K3WXEajaSQ,"[2011, 2013]",133,Jarrod,,1652,1425,79,23,13,47,43,1801,62
2010-09,6,,4,,,4.21,Pmv08bngTPGeT__n6MV24Q,"[2012, 2013, 2014]",149,Sean,,147,136,3,6,1,3,,370,5
2008-10,11,2,7,1,1,3.6,4PHFFgxWSmFha8PKxqp-tw,"[2012, 2013, 2014]",520,Minerva,,124,125,7,8,1,4,2,389,4
2012-05,16,1,18,,1,4.32,Bvphbgy_mGdjIv0ZWbszMg,[2012],30,Jackie,,31,21,5,1,1,5,7,67,17
2006-10,5,2,16,6,,4.15,inErD2lT5_-JMapRgflk8g,"[2007, 2008, 2009, 2012, 2013]",453,Jennifer,1,183,105,7,16,2,12,3,485,8
2010-02,,,10,3,,3.35,vHJirTa4d4eVAL7torgArg,"[2010, 2011, 2012, 2013]",92,Chris,1,63,73,3,1,,2,4,125,3
2008-12,32,1,27,,1,3.94,VnNQzXOT0sMkE9iSAlBTtQ,"[2012, 2013, 2014]",139,Christina,1,183,108,15,6,,10,8,351,8
2010-04,,1,8,1,1,3.3,akbORpD4wwVcMEJQwGUbqA,"[2012, 2013, 2014]",263,Elaine,,81,107,2,11,1,3,1,273,5
2007-01,3,,5,3,,4.45,zg6oozx1VoplOHqJv6_Caw,[2007],56,damon,1,65,102,3,5,,10,4,109,6
2008-03,12,,12,3,,4.0,bluFVo7fVeceTOZamyOmFw,"[2010, 2011, 2012]",71,Rachel,4,74,84,19,4,1,10,1,184,20
2011-02,14,,32,2,1,3.51,Ba9fIJAmGNjFXU2Oc0fyxQ,"[2013, 2014]",170,Mike,,88,75,21,9,,13,7,212,18
2007-01,2,2,6,,,3.41,-eF-E9UZzLNlySpxI9x46Q,[2008],153,Josephine,1,57,51,2,5,,1,1,120,4
2008-12,15,,12,,,3.68,Eb6jrVgXVJXRcdCIb6955A,"[2009, 2010]",72,Matt,,33,30,1,34,1,3,2,87,1
2009-09,15,5,13,2,,3.69,WxnADDzRLvWOBCoqzsNUJg,"[2011, 2012, 2013, 2014]",169,Raji,,126,182,7,21,5,22,1,305,29
2010-07,5,1,4,1,,3.58,b8hD47JGsctQBWQn9hjq1w,"[2012, 2013, 2014]",105,Rachael,,27,28,8,0,1,2,,74,7
2009-01,415,50,554,79,15,3.57,txFk44ZWFi-TFh7w5KZxZg,"[2010, 2011, 2012, 2013, 2014]",794,Minda,2,1910,1633,230,39,177,154,159,2401,435
2011-06,3,,4,,,4.0,VEnGmcG_thacVP1gcnT8sg,"[2012, 2013, 2014]",102,Kristine,,51,43,2,5,,2,,122,3
2010-04,,,5,,,3.63,4eC5FqsggTvQsrJfQkoOSA,"[2012, 2013]",116,Tracy,,51,34,2,0,,4,,124,5
2010-04,3,,4,4,,3.64,HSCAIz_sFTgC78hXE-86Og,"[2011, 2012, 2013, 2014]",108,Phyllis,,47,32,2,4,,2,,146,3
2010-03,199,21,261,25,21,3.69,hLuKgo7G6us4wNQoFb7N8A,"[2010, 2011, 2012, 2013, 2014]",904,Lisa,10,1195,1248,126,126,91,109,92,2183,180
2009-09,9,1,10,,,4.26,OcBpqBITHJ5gUy1UbxdnmA,"[2012, 2013]",82,Conor,,28,8,13,1,5,11,3,66,6
2006-07,1,,1,1,,3.61,ukxdMRCeNaxas-3eIEdgAQ,[2007],87,Benson,,27,42,2,0,,2,3,70,
2009-08,3,,6,,,3.3,oNXc0HxtZJghKyC1uouv7w,"[2011, 2012, 2013, 2014]",181,Hugh,,138,80,,6,,4,1,276,4
2012-08,35,,16,,2,3.24,6phsGfhy7kP_UTcLf4Z33Q,"[2013, 2014]",336,Kelly,,100,60,4,3,4,10,2,392,9
2012-11,20,1,21,2,,4.01,2bh7QNwqshE_KZTBsYupZw,"[2013, 2014]",104,Frances,3,115,60,26,7,6,20,5,181,30
2012-05,3,,1,,,4.0,QJHrMFU17sLVVxgk2hXOlw,[2014],73,Sean,,10,4,,0,,,1,24,
2011-07,5,1,3,2,2,3.95,AZK-8rt83k_69O4nKJmIoQ,"[2011, 2012, 2013, 2014]",276,Maria,,57,24,4,8,,2,,244,1
2010-01,4,,6,1,,3.81,ojtPjHCzwewCtj7GI7UI8Q,[2011],127,Tim,,41,18,3,1,,6,,166,5
2010-06,621,2,434,33,23,3.65,QMzUS7Kvge7itdC6-Ftmgw,"[2011, 2012, 2013, 2014]",677,George,5,3961,3762,190,35,110,316,325,4615,173
