yelping_since,compliments.plain,compliments.more,compliments.cool,compliments.profile,average_stars,user_id,elite,review_count,name,compliments.list,votes.cool,votes.funny,compliments.writer,fans,compliments.cute,compliments.photos,compliments.note,compliments.funny,votes.useful,compliments.hot
2007-07,206,39,343,48,3.42,TLj3XaclA7V4ldJ5yNP-9Q,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",2081,Sean,34,4501,4054,267,169,25,55,207,228,6742,239
2007-08,169,21,197,17,3.85,jIDhZ23eeUzFGPOxgxG3Qw,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2056,Christina,9,1484,1001,48,54,28,42,56,66,2664,171
2009-09,1855,125,1528,210,3.42,Gb74e3NProDiMq88JGvjpw,"[2010, 2011, 2012, 2013, 2014]",2021,Maria,66,5567,4534,470,232,214,452,678,801,7333,1579
2009-01,30,9,87,4,3.44,KfC3kgw-EzI3wECydlNYLA,"[2009, 2010, 2011, 2012, 2013, 2014]",2005,Sunil,1,1262,1225,34,32,1,5,32,18,2367,34
2008-03,640,112,987,49,3.77,IPJTjIzF6T4IGQ0ha933aA,"[2008, 2009, 2010, 2011]",2004,Javier,28,9652,9936,531,216,38,128,547,800,11330,550
2008-02,317,41,179,22,2.69,PwhszSOUWY3zR4kRWOC_sQ,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",2003,Hank,8,1311,738,75,53,7,2,86,65,2953,86
2009-10,1796,68,1467,108,3.18,I0YYbQJCYlCI9562brPbpg,"[2010, 2011, 2012, 2013]",1995,Nino,54,6007,6611,392,82,25,92,741,1356,7720,769
2007-05,626,57,1142,61,3.33,bLjKUuAvdx7wbp6arixUfg,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",1965,Franco,26,5464,4747,256,83,11,14,295,486,8000,523
2007-03,3311,77,1688,111,3.62,kGgAARL2UmvCcTRfiscjug,[2010],1946,J,60,9595,6287,486,142,42,1345,605,416,13213,1002
2006-10,74,14,111,6,3.79,UKn3yyuoEWM6g11wIr_bgw,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",1942,Matt,33,1891,972,94,146,11,29,41,19,4045,41
2007-07,399,35,321,31,3.4,R45rbOn8aSOXeSE-1vjNmQ,"[2007, 2008, 2009, 2010, 2011]",1934,Ro,13,2586,2671,45,52,55,25,255,351,4910,209
2009-02,86,11,96,10,3.61,dahsxCK5VCYRHccVS1udmQ,"[2009, 2010, 2011, 2012, 2013, 2014]",1933,Lili,9,775,539,21,67,7,12,34,20,1759,50
2011-11,191,11,165,5,3.67,sKtmrRvPMn5GRTnHYd41CA,"[2012, 2013, 2014]",1899,Nijole,1,2467,2061,138,54,5,103,74,57,4145,85
2010-12,643,56,379,15,3.47,WBKX6pGgxdp0x0l4WZuxSw,"[2011, 2012, 2013, 2014]",1895,Marqus,8,2828,2410,268,71,9,53,326,345,6027,246
2006-04,116,24,227,15,3.96,SE0Sckp7UwlS6SlGuj5FAw,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",1893,helen,17,1453,431,53,53,62,10,129,87,2675,215
